EventID,DecodedID,EventName,DateTime
17GZvOG6C6u5xAJ,L250108,Philadelphia Flyers vs. Toronto Maple Leafs,2025-01-08 00:30:00+00:00
G5diZbo6CdoCM,R250109,New York Knicks vs. Toronto Raptors,2025-01-09 00:30:00+00:00
Za5ju3rKuqZBNiFWHBgoAr1GdhOAMnplJ,R250109,NYK vs Toronto Raptors,2025-01-09 00:30:00+00:00
Z7r9jZ1A7C3O3,R250110,Cleveland Cavaliers vs. Toronto Raptors,2025-01-10 00:00:00+00:00
Za5ju3rKuqZDvhIYS0r9_5wa-C_58MgSv_,L250110,Carolina Hurricanes vs Toronto Maple Leafs,2025-01-10 00:30:00+00:00
Za5ju3rKuqZDdxZJdTlAAaa_BuFh3kK43A,L250110,Carolina Hurricanes vs Toronto Maple Leafs,2025-01-10 00:30:00+00:00
G5eVZb2rBxb6K,L250110,Carolina Hurricanes vs. Toronto Maple Leafs,2025-01-10 00:30:00+00:00
Za5ju3rKuqZDvm6uEpnU-ZwhsxfsORI6OI,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12 00:00:00+00:00
Za5ju3rKuqZDvhOvSIRl_kun9TDAM59y6Z,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12 00:00:00+00:00
Za5ju3rKuqZDv-p46y_n422aKnWwDZPvzp,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12 00:00:00+00:00
Za5ju3rKuqZDeSBltrIP-AWBUZxDAzOcUh,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12 00:00:00+00:00
Za5ju3rKuqZDe-ORVXIuya0tTQp3xhyg0V,L250112,Toronto Maple Leafs vs Vancouver Canucks,2025-01-12 00:00:00+00:00
177ZvOG62XcCKLs,L250112,Toronto Maple Leafs vs. Vancouver Canucks,2025-01-12 00:00:00+00:00
vv17OZb8GkzkwVi_,R250112,Detroit Pistons vs. Toronto Raptors,2025-01-12 00:00:00+00:00
vv1AFZk7zGkd0I0x5,R250112,Detroit Pistons vs Toronto Raptors - Suite / Loge,2025-01-12 00:00:00+00:00
1k7Zv-a6GAC3YMD,R250114,Toronto Raptors vs. Golden State Warriors,2025-01-14 00:30:00+00:00
Za5ju3rKuqZBtUVyY1Doa8znvq1YjnzyB,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14 00:30:00+00:00
Za5ju3rKuqZDdR9Kfj_scG2nnshCpdCgsA,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14 00:30:00+00:00
Za5ju3rKuqZDvTf3WTDXPdy_q_pj8YiOto,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14 00:30:00+00:00
Za5ju3rKuqZDvs5SFv4htdLt2kFyZcross,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14 00:30:00+00:00
Za5ju3rKuqZDe4xxmEf2PGQhy6pb4eSbwk,L250115,Toronto Maple Leafs vs Dallas Stars,2025-01-15 00:00:00+00:00
