EventID,DecodedID,EventName,DateTime
G5diZbo6CdoCM,R250109,New York Knicks vs. Toronto Raptors,2025-01-09T00:30:00Z
Za5ju3rKuqZBNiFWHBgoAr1GdhOAMnplJ,R250109,NYK vs Toronto Raptors,2025-01-09T00:30:00Z
Z7r9jZ1A7C3O3,R250110,Cleveland Cavaliers vs. Toronto Raptors,2025-01-10T00:00:00Z
vv17OZb8GkzkwVi_,R250112,Detroit Pistons vs. Toronto Raptors,2025-01-12T00:00:00Z
vv1AFZk7zGkd0I0x5,R250112,Detroit Pistons vs Toronto Raptors - Suite / Loge,2025-01-12T00:00:00Z
1k7Zv-a6GAC3YMD,R250114,Toronto Raptors vs. Golden State Warriors,2025-01-14T00:30:00Z
Za5ju3rKuqZBtUVyY1Doa8znvq1YjnzyB,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14T00:30:00Z
Za5ju3rKuqZDdR9Kfj_scG2nnshCpdCgsA,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14T00:30:00Z
Za5ju3rKuqZDvTf3WTDXPdy_q_pj8YiOto,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14T00:30:00Z
Za5ju3rKuqZDvs5SFv4htdLt2kFyZcross,R250114,Toronto Raptors vs Golden State Warriors,2025-01-14T00:30:00Z
1k7Zv-a6GACKOzo,R250116,Toronto Raptors vs. Boston Celtics,2025-01-16T00:30:00Z
Za5ju3rKuqZDdVgk5xFXuGeFjyf2o-VHr5,R250116,Toronto Raptors vs Boston Celtics,2025-01-16T00:30:00Z
Za5ju3rKuqZDebVAkxRGaCAhIywU69FFS6,R250116,Toronto Raptors vs Boston Celtics,2025-01-16T00:30:00Z
Za5ju3rKuqZDv3dKDqSVvFwDsrh-tE5JSr,R250116,Toronto Raptors vs Boston Celtics,2025-01-16T00:30:00Z
Za5ju3rKuqZDvyOkGU1ba10BfnuGmNuBMo,R250116,Toronto Raptors vs Boston Celtics,2025-01-16T00:30:00Z
vv17jZbfGkRnVgCE,R250118,Milwaukee Bucks vs Toronto Raptors (Premium Spaces),2025-01-18T01:00:00Z
vv1kjZb8ffG7mN8f,R250118,Milwaukee Bucks vs. Toronto Raptors,2025-01-18T01:00:00Z
1k7Zv-a6GACf8zf,R250122,GREATEST OF ALL TORONTO NIGHT | Toronto Raptors v Orlando Magic,2025-01-22T00:30:00Z
Za5ju3rKuqZBufbJtry_kjzW0OWofOLzQ,R250122,Toronto Raptors vs Orlando Magic,2025-01-22T00:30:00Z
Za5ju3rKuqZDdCu97gAi4ZLaOtyCp7OnHl,R250122,Toronto Raptors vs Orlando Magic,2025-01-22T00:30:00Z
Za5ju3rKuqZDdZN2-XS7uCozmxOhbc1nVT,R250122,Toronto Raptors vs Orlando Magic,2025-01-22T00:30:00Z
Za5ju3rKuqZDvznx1_CdoF7nPVzeArO2Yy,R250122,Toronto Raptors vs Orlando Magic,2025-01-22T00:30:00Z
Za5ju3rKuqZDdzAQpdm_vAtnyf3dL23quc,R250124,HAWKS SUITE PASS: Toronto Raptors,2025-01-24T00:30:00Z
vvG1zZb8h0vgA0,R250124,Atlanta Hawks vs Toronto Raptors,2025-01-24T00:30:00Z
Za5ju3rKuqZDeXTEcwv1tCv1LvmZgpjbhj,R250126,HAWKS SUITE PASS: Toronto Raptors,2025-01-26T00:30:00Z
vvG1zZb8h0ePAy,R250126,Atlanta Hawks vs Toronto Raptors,2025-01-26T00:30:00Z
1k7Zv-a6GAC4Zzb,R250128,Toronto Raptors vs. New Orleans Pelicans,2025-01-28T00:30:00Z
Za5ju3rKuqZDeADdW_NaqkolyS7vZWiMjF,R250128,Toronto Raptors vs New Orleans Pelicans,2025-01-28T00:30:00Z
Za5ju3rKuqZDeBOMJ8zdq1ZhvAemCkonDf,R250128,Toronto Raptors vs New Orleans Pelicans,2025-01-28T00:30:00Z
Za5ju3rKuqZDeVg7ne7a_vJIOYZgLACYOx,R250128,Toronto Raptors vs New Orleans Pelicans,2025-01-28T00:30:00Z
Za5ju3rKuqZDvYJIEoMVgCTQTZAhY31QlW,R250128,Toronto Raptors vs New Orleans Pelicans,2025-01-28T00:30:00Z
1AvfZb8GkDl1fMb,R250130,Washington Wizards vs. Toronto Raptors,2025-01-30T00:00:00Z
1k7Zv-a6GAC4Yzj,R250201,Toronto Raptors vs. Chicago Bulls,2025-02-01T00:30:00Z
Za5ju3rKuqZB8eKKwozWdRQEn30yINoAe,R250201,Toronto Raptors vs Chicago Bulls,2025-02-01T00:30:00Z
Za5ju3rKuqZBhOP0gOi-1EB0XTjrkZEce,R250201,Toronto Raptors vs Chicago Bulls,2025-02-01T00:30:00Z
Za5ju3rKuqZDdbT2nEf0sv5bBK8R-x1cep,R250201,Toronto Raptors vs Chicago Bulls,2025-02-01T00:30:00Z
Za5ju3rKuqZDvOC70hZCg5vzomcIkeo_B8,R250201,Toronto Raptors vs Chicago Bulls,2025-02-01T00:30:00Z
1k7Zv-a6GACpYzx,R250202,Toronto Raptors vs. LA Clippers,2025-02-02T20:30:00Z
Za5ju3rKuqZDd6yjbCx-gk_l623Z5efErr,R250202,Toronto Raptors vs LA Clippers,2025-02-02T20:30:00Z
Za5ju3rKuqZDdADA33FGP6TBayTOPGtlpq,R250202,Toronto Raptors vs LA Clippers,2025-02-02T20:30:00Z
Za5ju3rKuqZDeJwEk-7CP2c_hPG-qK1wkW,R250202,Toronto Raptors vs LA Clippers,2025-02-02T20:30:00Z
Za5ju3rKuqZDvDDmSSZIWGi5jV3yhwmOuw,R250202,Toronto Raptors vs LA Clippers,2025-02-02T20:30:00Z
1k7Zv-a6GAC9Ozi,R250205,Toronto Raptors vs. New York Knicks,2025-02-05T00:30:00Z
Za5ju3rKuqZB35wHvO4vGAt4eDX8ujT1f,R250205,Toronto Raptors vs New York Knicks,2025-02-05T00:30:00Z
Za5ju3rKuqZDdt8_-_Cd-2BIqEUENdaR5R,R250205,Toronto Raptors vs New York Knicks,2025-02-05T00:30:00Z
Za5ju3rKuqZDdx8N5858P5mtx99xbFl8Xx,R250205,Toronto Raptors vs New York Knicks,2025-02-05T00:30:00Z
Za5ju3rKuqZDeOgAw2Kco6Fn1y1-db-KDa,R250205,Toronto Raptors vs New York Knicks,2025-02-05T00:30:00Z
1k7Zv-a6GACb8zY,R250206,90s DECADE NIGHT | Toronto Raptors v Memphis Grizzlies,2025-02-06T00:30:00Z
Za5ju3rKuqZDdUPRoeoWseDDOdybnUwZzH,R250206,Toronto Raptors vs Memphis Grizzlies,2025-02-06T00:30:00Z
Za5ju3rKuqZDvNEaLBPCokezsQtBkiOrF7,R250206,Toronto Raptors vs Memphis Grizzlies,2025-02-06T00:30:00Z
Za5ju3rKuqZDvWHNi-gCc7BBRoF-uWkI7Y,R250206,Toronto Raptors vs Memphis Grizzlies,2025-02-06T00:30:00Z
Za5ju3rKuqZDvsKMQIxHy7zDkm3J7u_h5w,R250206,Toronto Raptors vs Memphis Grizzlies,2025-02-06T00:30:00Z
Za5ju3rKuqZDdG-S7L_coZNzrnJP5C6y7r,R250208,Thunder vs. Toronto Raptors - SUITE,2025-02-08T01:00:00Z
vvG1YZb8D7DKjr,R250208,Oklahoma City Thunder vs. Toronto Raptors,2025-02-08T01:00:00Z
Z7r9jZ1A7C3qO,R250209,Houston Rockets vs. Toronto Raptors,2025-02-09T19:00:00Z
1AdZZb8GkDbdVIR,R250212,Philadelphia 76ers vs. Toronto Raptors,2025-02-12T00:00:00Z
1k7Zv-a6GACbYzw,R250213,DUNKAVERSARY NIGHT |Toronto Raptors v Cleveland Cavaliers,2025-02-13T00:30:00Z
Za5ju3rKuqZBVKjYZX1g10QVP-iz-Ukg1,R250213,Toronto Raptors vs Cleveland Cavaliers,2025-02-13T00:30:00Z
Za5ju3rKuqZDdRh1I9w6AFezyoodILtN8Z,R250213,Toronto Raptors vs Cleveland Cavaliers,2025-02-13T00:30:00Z
Za5ju3rKuqZDdwkZZk56Pv0txA5HCeqe4a,R250213,Toronto Raptors vs Cleveland Cavaliers,2025-02-13T00:30:00Z
Za5ju3rKuqZDvBekG4HFWumDbS9fk94dw5,R250213,Toronto Raptors vs Cleveland Cavaliers,2025-02-13T00:30:00Z
1k7Zv-a6GAC_OzV,R250222,CARIBBEAN HERITAGE NIGHT | Toronto Raptors v Miami Heat,2025-02-22T00:30:00Z
Za5ju3rKuqZDdPkSUC1iqGnapo2OwOuWAr,R250222,Toronto Raptors vs Miami Heat,2025-02-22T00:30:00Z
Za5ju3rKuqZDduP2YjS3AAID1r7kaUUhkg,R250222,Toronto Raptors vs Miami Heat,2025-02-22T00:30:00Z
Za5ju3rKuqZDvY1fowS0_uYb9NfVcB3bJ7,R250222,Toronto Raptors vs Miami Heat,2025-02-22T00:30:00Z
Za5ju3rKuqZDvyPZtHgB_6vy82y-2Jrxj4,R250222,Toronto Raptors vs Miami Heat,2025-02-22T00:30:00Z
1k7Zv-a6GACQOye,R250223,Toronto Raptors vs. Phoenix Suns,2025-02-23T23:00:00Z
Za5ju3rKuqZDdJDoL4SE_AMy4lrVQ61KQ8,R250223,Toronto Raptors vs Phoenix Suns,2025-02-23T23:00:00Z
Za5ju3rKuqZDeyHkOWkDue9DOMGX5fCUUu,R250223,Toronto Raptors vs Phoenix Suns,2025-02-23T23:00:00Z
Za5ju3rKuqZDv1gC7tFrsaMa2_rk34t5-z,R250223,Toronto Raptors vs Phoenix Suns,2025-02-23T23:00:00Z
Za5ju3rKuqZDv_17o2KatFPF_WNGwQ0oLa,R250223,Toronto Raptors vs Phoenix Suns,2025-02-23T23:00:00Z
1k7Zv-a6GAChZy6,R250226,Toronto Raptors vs. Boston Celtics,2025-02-26T00:30:00Z
Za5ju3rKuqZBo3fJxXF45_yC8YM8ROAX4,R250226,Toronto Raptors vs Boston Celtics,2025-02-26T00:30:00Z
Za5ju3rKuqZDdTGWbiTqsZrtJgvycSoAGH,R250226,Toronto Raptors vs Boston Celtics,2025-02-26T00:30:00Z
Za5ju3rKuqZDeHI9Qt4mA5k5IO_TAoD5Fd,R250226,Toronto Raptors vs Boston Celtics,2025-02-26T00:30:00Z
Za5ju3rKuqZDvkGgCzObyFst4xxPUBLffd,R250226,Toronto Raptors vs Boston Celtics,2025-02-26T00:30:00Z
Za5ju3rKuqZBWT840QuPCV_4ZppaBSaJj,R250227,(GUEST PASS) Pacers vs. Toronto Raptors,2025-02-27T00:00:00Z
Za5ju3rKuqZBpOaqsNIA6Fzn3SvmApG_g,R250227,RENTAL 2/26/2025 Toronto Raptors,2025-02-27T00:00:00Z
vv17fZb8GkD-5Nmy,R250227,Indiana Pacers vs. Toronto Raptors,2025-02-27T00:00:00Z
vv1A7Zk78GkeHp7jC,R250301,Chicago Bulls vs. Toronto Raptors,2025-03-01T01:00:00Z
1AeFZb8GkDOxsHC,R250302,Orlando Magic v Toronto Raptors,2025-03-02T23:00:00Z
1AeFZb8GkDON-H3,R250305,Orlando Magic v Toronto Raptors,2025-03-05T00:00:00Z
1k7Zv-a6GACjZya,R250308,2000s DECADE NIGHT | Toronto Raptors v Utah Jazz,2025-03-08T00:30:00Z
Za5ju3rKuqZDdC916y5SP2aBRgv3N0mR9V,R250308,Toronto Raptors vs Utah Jazz,2025-03-08T00:30:00Z
Za5ju3rKuqZDeNWYX1F74ksl-J5b1Ytmra,R250308,Toronto Raptors vs Utah Jazz,2025-03-08T00:30:00Z
Za5ju3rKuqZDvmg_92cmo5HyKeT48LoR4j,R250308,Toronto Raptors vs Utah Jazz,2025-03-08T00:30:00Z
Za5ju3rKuqZDvzNciAqLcF1D7F80Kunz2u,R250308,Toronto Raptors vs Utah Jazz,2025-03-08T00:30:00Z
1k7Zv-a6GACjYyu,R250309,WOMEN'S EMPOWERMENT NIGHT | Toronto Raptors v Washington Wizards,2025-03-09T00:30:00Z
Za5ju3rKuqZBeh49WQytaDFY1PFRzjQwa,R250309,Toronto Raptors vs Washington Wizards,2025-03-09T00:30:00Z
Za5ju3rKuqZBlz5MrhDs7ZD4aE6By5yaV,R250309,Toronto Raptors vs Washington Wizards,2025-03-09T00:30:00Z
Za5ju3rKuqZDduPnYulj-5E_62cdEv1pU4,R250309,Toronto Raptors vs Washington Wizards,2025-03-09T00:30:00Z
Za5ju3rKuqZDvCp_x2-ouaxaTBOVNzas_D,R250309,Toronto Raptors vs Washington Wizards,2025-03-09T00:30:00Z
1k7Zv-a6GACqOy2,R250310,Toronto Raptors vs. Washington Wizards,2025-03-10T23:30:00Z
Za5ju3rKuqZBMp4KNsT-24BW3cxXSyf3K,R250310,Toronto Raptors vs Washington Wizards,2025-03-10T23:30:00Z
Za5ju3rKuqZDdEOwTQvtqdFBWp3S3Gr8km,R250310,Toronto Raptors vs Washington Wizards,2025-03-10T23:30:00Z
Za5ju3rKuqZDduXu9nc2P7tDk7Q6DXyIiq,R250310,Toronto Raptors vs Washington Wizards,2025-03-10T23:30:00Z
Za5ju3rKuqZDvAZckUvV-vw1Os3S6_FSgZ,R250310,Toronto Raptors vs Washington Wizards,2025-03-10T23:30:00Z
1k7Zv-a6GACrZyo,R250312,Toronto Raptors vs. Philadelphia 76ers,2025-03-12T23:30:00Z
